No.of nodes:	 80
Area:	 1500 x 1500
Mobility:	 100
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 DSDV 	 AODV 	 AOMDV 	 DSR
0.1 	11.703125	0.373434	10.187500	0.025000	
0.05 	5.812500	0.367960	5.096130	0.011236	
0.033 	3.888889	0.124587	3.359439	0.010717	
0.025 	2.953033	0.093183	2.538413	0.005621	
0.02 	2.362637	0.073610	2.032000	0.004500	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
 	 DSDV 	 AODV 	 AOMDV 	 DSR
0.1 	11.664062	0.368421	10.222500	0.027500	
0.05 	5.847656	0.367960	5.094881	0.011236	
0.033 	3.891473	0.119736	3.363561	0.012366	
0.025 	2.951076	0.088235	2.542786	0.005621	
0.02 	2.351648	0.070606	2.037500	0.004500	
 
CBR Pkt_size:	 150
Node Speed:	 10
 
 	 DSDV 	 AODV 	 AOMDV 	 DSR
0.1 	11.679688	0.368421	10.195000	0.027569	
0.05 	5.820312	0.186250	5.081149	0.011236	
0.033 	3.863049	0.119736	3.360264	0.016488	
0.025 	2.950980	0.092558	2.540912	0.005621	
0.02 	2.366352	0.065566	2.027000	0.005500	
 
CBR Pkt_size:	 200
Node Speed:	 10
 
 	 DSDV 	 AODV 	 AOMDV 	 DSR
0.1 	11.679688	0.547739	10.187500	0.027569	
0.05 	5.812500	0.265332	5.077403	0.011236	
0.033 	3.881137	0.185644	3.363561	0.016515	
0.025 	2.960784	0.092558	2.549032	0.005621	
0.02 	2.375196	0.147870	2.032500	0.011011	
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 DSDV 	 AODV 	 AOMDV 	 DSR
0.1 	11.695312	0.547739	10.192500	0.027569	
0.05 	5.847656	0.275000	5.074906	0.011236	
0.033 	3.883721	0.177006	3.368508	0.015664	
0.025 	2.954902	0.185464	2.541537	0.005621	
0.02 	2.351648	0.112112	2.036000	0.024048	
 
CBR Pkt_size:	 50
Node Speed:	 8
 
 	 DSDV 	 AODV 	 AOMDV 	 DSR
0.1 	11.376923	0.365915	10.160000	0.025000	
0.05 	5.680769	0.185000	5.099875	0.011236	
0.033 	3.768448	0.190751	3.361913	0.013190	
0.025 	2.838150	0.190119	2.538413	0.005621	
0.02 	2.306028	0.071572	2.038000	0.005503	
 
CBR Pkt_size:	 100
Node Speed:	 8
 
 	 DSDV 	 AODV 	 AOMDV 	 DSR
0.1 	11.346154	0.556391	10.187500	0.027500	
0.05 	5.688462	0.185000	5.079900	0.011236	
0.033 	3.772959	0.184818	3.358615	0.009068	
0.025 	2.843931	0.088806	2.545284	0.005621	
0.02 	2.285271	0.111111	2.038000	0.004505	
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 DSDV 	 AODV 	 AOMDV 	 DSR
0.1 	11.369231	0.556391	10.195000	0.027569	
0.05 	5.673077	0.188750	5.093633	0.011236	
0.033 	3.753181	0.121387	3.375103	0.014839	
0.025 	2.857418	0.141338	2.547158	0.005621	
0.02 	2.282844	0.074575	2.035000	0.004500	
 
CBR Pkt_size:	 200
Node Speed:	 8
 
 	 DSDV 	 AODV 	 AOMDV 	 DSR
0.1 	11.400000	0.368421	10.180000	0.027569	
0.05 	5.680769	0.281250	5.071161	0.011236	
0.033 	3.773537	0.123039	3.370157	0.016515	
0.025 	2.867052	0.129699	2.539038	0.005621	
0.02 	2.296754	0.071607	2.037000	0.005500	
 
CBR Pkt_size:	 250
Node Speed:	 8
 
 	 DSDV 	 AODV 	 AOMDV 	 DSR
0.1 	11.376923	0.368421	10.175000	0.027569	
0.05 	5.669231	0.183750	5.084894	0.011236	
0.033 	3.745547	0.185797	3.357791	0.014839	
0.025 	2.845857	0.088235	2.547158	0.005621	
0.02 	2.295209	0.112613	2.040000	0.004500	
 
CBR Pkt_size:	 50
Node Speed:	 6
 
